sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.300;824;;1000rounds;Yes;No;2;0.95718;0.98124;0.00000;0.00000;1.93842;shimizu_agent@80;shimizu_agent@81;0.981235366113747;0.9571807411147555;0.981235366113747;0.9571807411147555;0.981235366113747;0.9571807411147555;0.0;0.0;0.981235366113747;0.9571807411147555;Symposium-Profile2.xml;Symposium-Profile5.xml
0.302;824;;1000rounds;Yes;No;2;0.95718;0.98196;0.00000;0.00000;1.93914;shimizu_agent@82;shimizu_agent@83;0.9819635707856851;0.9571807411147555;0.9819635707856851;0.9571807411147555;0.9819635707856851;0.9571807411147555;0.0;0.0;0.9819635707856851;0.9571807411147555;Symposium-Profile1.xml;Symposium-Profile5.xml
0.103;276;;1000rounds;Yes;No;2;0.93638;0.99377;0.00000;0.02429;1.93014;shimizu_agent@84;TitForTatAgent@85;0.9937666039942015;0.936375218368643;0.9937666039942015;0.936375218368643;0.9937666039942015;0.0;0.0;0.0;0.9937666039942015;0.936375218368643;Symposium-Profile2.xml;Symposium-Profile5.xml
0.097;249;;1000rounds;Yes;No;2;0.93638;0.99400;0.00000;0.02404;1.93037;shimizu_agent@86;TitForTatAgent@87;0.9939977256237928;0.936375218368643;0.9939977256237928;0.936375218368643;0.9939977256237928;0.0;0.0;0.0;0.9939977256237928;0.936375218368643;Symposium-Profile1.xml;Symposium-Profile5.xml
0.097;249;;1000rounds;Yes;No;2;0.81984;1.00000;0.00000;0.13861;1.81984;shimizu_agent@88;TimeDependentAgent@89;1.0;0.8198430451398877;1.0;0.8198430451398877;1.0;0.0;0.0;0.0;1.0;0.8198430451398877;Symposium-Profile2.xml;Symposium-Profile5.xml
0.097;249;;1000rounds;Yes;No;2;0.81984;1.00000;0.00000;0.13852;1.81984;shimizu_agent@90;TimeDependentAgent@91;1.0;0.8198430451398877;1.0;0.8198430451398877;1.0;0.0;0.0;0.0;1.0;0.8198430451398877;Symposium-Profile1.xml;Symposium-Profile5.xml
0.010;22;;1000rounds;Yes;No;2;0.81984;1.00000;0.00000;0.13861;1.81984;shimizu_agent@92;RandomAgent@93;1.0;0.8198430451398877;1.0;0.8198430451398877;1.0;0.0;0.0;0.0;1.0;0.8198430451398877;Symposium-Profile2.xml;Symposium-Profile5.xml
0.002;3;;1000rounds;Yes;No;2;0.81984;1.00000;0.00000;0.13852;1.81984;shimizu_agent@94;RandomAgent@95;1.0;0.8198430451398877;1.0;0.8198430451398877;1.0;0.0;0.0;0.0;1.0;0.8198430451398877;Symposium-Profile1.xml;Symposium-Profile5.xml
0.113;300;;1000rounds;Yes;No;2;0.93638;0.99377;0.00000;0.02429;1.93014;shimizu_agent@96;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@97;0.9937666039942015;0.936375218368643;0.9937666039942015;0.936375218368643;0.9937666039942015;0.936375218368643;0.0;0.0;0.9937666039942015;0.936375218368643;Symposium-Profile2.xml;Symposium-Profile5.xml
0.127;284;;1000rounds;Yes;No;2;0.93638;0.99400;0.00000;0.02404;1.93037;shimizu_agent@98;boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@99;0.9939977256237928;0.936375218368643;0.9939977256237928;0.936375218368643;0.9939977256237928;0.936375218368643;0.0;0.0;0.9939977256237928;0.936375218368643;Symposium-Profile1.xml;Symposium-Profile5.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@100;shimizu_agent@101;1.0;0.9999999999999999;1.0;0.9999999999999999;1.0;0.9999999999999999;0.0;0.0;1.0;0.9999999999999999;Symposium-Profile2.xml;Symposium-Profile4.xml
0.001;2;;1000rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;shimizu_agent@102;shimizu_agent@103;1.0;0.9999999999999999;1.0;0.9999999999999999;1.0;0.9999999999999999;0.0;0.0;1.0;0.9999999999999999;Symposium-Profile1.xml;Symposium-Profile4.xml
